Movie Title,Movie Release Year,IMDb Rating,Movie Duration,Movie Rating (MPA),Movie URL IMDb
92. Star Wars: Episode VI - Return of the Jedi,1983,8.3,2h 11m,PG,https://www.imdb.com/title/tt0086190/?ref_=chttp_t_92
93. Eternal Sunshine of the Spotless Mind,2004,8.3,1h 48m,R,https://www.imdb.com/title/tt0338013/?ref_=chttp_t_93
94. 2001: A Space Odyssey,1968,8.3,2h 29m,G,https://www.imdb.com/title/tt0062622/?ref_=chttp_t_94
95. The Hunt,2012,8.3,1h 55m,R,https://www.imdb.com/title/tt2106476/?ref_=chttp_t_95
96. Reservoir Dogs,1992,8.3,1h 39m,R,https://www.imdb.com/title/tt0105236/?ref_=chttp_t_96
97. Ikiru,1952,8.3,2h 23m,Not Rated,https://www.imdb.com/title/tt0044741/?ref_=chttp_t_97
98. Lawrence of Arabia,1962,8.3,3h 38m,Approved,https://www.imdb.com/title/tt0056172/?ref_=chttp_t_98
99. Citizen Kane,1941,8.3,1h 59m,PG,https://www.imdb.com/title/tt0033467/?ref_=chttp_t_99
100. M,1931,8.3,1h 39m,Passed,https://www.imdb.com/title/tt0022100/?ref_=chttp_t_100
101. The Apartment,1960,8.3,2h 5m,Approved,https://www.imdb.com/title/tt0053604/?ref_=chttp_t_101
102. North by Northwest,1959,8.3,2h 16m,Approved,https://www.imdb.com/title/tt0053125/?ref_=chttp_t_102
103. Vertigo,1958,8.3,2h 8m,PG,https://www.imdb.com/title/tt0052357/?ref_=chttp_t_103
104. Double Indemnity,1944,8.3,1h 47m,Passed,https://www.imdb.com/title/tt0036775/?ref_=chttp_t_104
105. Amélie,2001,8.3,2h 2m,R,https://www.imdb.com/title/tt0211915/?ref_=chttp_t_105
106. Scarface,1983,8.3,2h 50m,18+,https://www.imdb.com/title/tt0086250/?ref_=chttp_t_106
107. Full Metal Jacket,1987,8.3,1h 56m,R,https://www.imdb.com/title/tt0093058/?ref_=chttp_t_107
108. A Clockwork Orange,1971,8.3,2h 16m,X,https://www.imdb.com/title/tt0066921/?ref_=chttp_t_108
109. Incendies,2010,8.3,2h 11m,R,https://www.imdb.com/title/tt1255953/?ref_=chttp_t_109
110. Heat,1995,8.3,2h 50m,R,https://www.imdb.com/title/tt0113277/?ref_=chttp_t_110
111. Hamilton,2020,8.3,2h 40m,PG-13,https://www.imdb.com/title/tt8503618/?ref_=chttp_t_111
112. Up,2009,8.3,1h 36m,PG,https://www.imdb.com/title/tt1049413/?ref_=chttp_t_112
113. To Kill a Mockingbird,1962,8.3,2h 9m,Approved,https://www.imdb.com/title/tt0056592/?ref_=chttp_t_113
114. The Sting,1973,8.3,2h 9m,PG,https://www.imdb.com/title/tt0070735/?ref_=chttp_t_114
115. A Separation,2011,8.3,2h 3m,PG-13,https://www.imdb.com/title/tt1832382/?ref_=chttp_t_115
116. Indiana Jones and the Last Crusade,1989,8.2,2h 7m,PG-13,https://www.imdb.com/title/tt0097576/?ref_=chttp_t_116
117. Metropolis,1927,8.3,2h 33m,Not Rated,https://www.imdb.com/title/tt0017136/?ref_=chttp_t_117
118. Die Hard,1988,8.2,2h 12m,R,https://www.imdb.com/title/tt0095016/?ref_=chttp_t_118
119. Like Stars on Earth,2007,8.3,2h 45m,PG,https://www.imdb.com/title/tt0986264/?ref_=chttp_t_119
120. Snatch,2000,8.2,1h 42m,R,https://www.imdb.com/title/tt0208092/?ref_=chttp_t_120
121. L.A. Confidential,1997,8.2,2h 18m,R,https://www.imdb.com/title/tt0119488/?ref_=chttp_t_121
122. Bicycle Thieves,1948,8.3,1h 29m,Not Rated,https://www.imdb.com/title/tt0040522/?ref_=chttp_t_122
123. Taxi Driver,1976,8.2,1h 54m,R,https://www.imdb.com/title/tt0075314/?ref_=chttp_t_123
124. 1917,2019,8.2,1h 59m,R,https://www.imdb.com/title/tt8579674/?ref_=chttp_t_124
125. Downfall,2004,8.2,2h 36m,R,https://www.imdb.com/title/tt0363163/?ref_=chttp_t_125
126. Dangal,2016,8.3,2h 41m,Not Rated,https://www.imdb.com/title/tt5074352/?ref_=chttp_t_126
127. For a Few Dollars More,1965,8.2,2h 12m,R,https://www.imdb.com/title/tt0059578/?ref_=chttp_t_127
128. Top Gun: Maverick,2022,8.3,2h 10m,PG-13,https://www.imdb.com/title/tt1745960/?ref_=chttp_t_128
129. Batman Begins,2005,8.2,2h 20m,PG-13,https://www.imdb.com/title/tt0372784/?ref_=chttp_t_129
130. Some Like It Hot,1959,8.2,2h 1m,Passed,https://www.imdb.com/title/tt0053291/?ref_=chttp_t_130
131. The Kid,1921,8.2,1h 8m,Passed,https://www.imdb.com/title/tt0012349/?ref_=chttp_t_131
132. The Wolf of Wall Street,2013,8.2,3h,R,https://www.imdb.com/title/tt0993846/?ref_=chttp_t_132
133. The Father,2020,8.2,1h 37m,PG-13,https://www.imdb.com/title/tt10272386/?ref_=chttp_t_133
134. Green Book,2018,8.2,2h 10m,PG-13,https://www.imdb.com/title/tt6966692/?ref_=chttp_t_134
135. All About Eve,1950,8.2,2h 18m,Passed,https://www.imdb.com/title/tt0042192/?ref_=chttp_t_135
